errorrate,iterations,density,l,c,m,gamma,erasures,maxiterations,tests,efficiency,fsum,fcorrupt,pcons,pdes,diffusion,degree,activities,alphabetsize,winners
1,4,.7049059186662946,128,8,5000,1,4,4,1000,1.0094971260575198,sum_of_sum!,erase_clusters!,1,0,1,0,2,8128,2
.963,3.985,.6187806575176367,144,8,5000,1,4,4,1000,.8211276655352334,sum_of_sum!,erase_clusters!,1,0,1,0,2,10296,2
.359,3.295,.5421609933035715,160,8,5000,1,4,4,1000,.6821343193486628,sum_of_sum!,erase_clusters!,1,0,1,0,2,12720,2
.04300000000000004,2.156,.47586841425619836,176,8,5000,1,4,4,1000,.5764683572086198,sum_of_sum!,erase_clusters!,1,0,1,0,2,15400,2
.014000000000000012,1.64,.4189821273561508,192,8,5000,1,4,4,1000,.4941494327145812,sum_of_sum!,erase_clusters!,1,0,1,0,2,18336,2
0,1.305,.37013865041208793,208,8,5000,1,4,4,1000,.4286956700455917,sum_of_sum!,erase_clusters!,1,0,1,0,2,21528,2
.0010000000000000009,1.152,.32911508632470843,224,8,5000,1,4,4,1000,.3757428359185446,sum_of_sum!,erase_clusters!,1,0,1,0,2,24976,2
0,1.081,.29324342757936506,240,8,5000,1,4,4,1000,.3322617399837695,sum_of_sum!,erase_clusters!,1,0,1,0,2,28680,2
0,1.037,.2629269191196987,256,8,5000,1,4,4,1000,.2960943906384098,sum_of_sum!,erase_clusters!,1,0,1,0,2,32640,2
.06299999999999994,2.329,.26295253208705355,128,8,5000,1,4,4,1000,.48732526093020356,sum_of_sum!,erase_clusters!,1,0,1,0,1,128,1
.027000000000000024,1.909,.2144562251984127,144,8,5000,1,4,4,1000,.3967538135195265,sum_of_sum!,erase_clusters!,1,0,1,0,1,144,1
.006000000000000005,1.535,.1773939732142857,160,8,5000,1,4,4,1000,.32985290443324117,sum_of_sum!,erase_clusters!,1,0,1,0,1,160,1
.0020000000000000018,1.365,.14910160861865407,176,8,5000,1,4,4,1000,.27894718358884374,sum_of_sum!,erase_clusters!,1,0,1,0,1,176,1
0,1.216,.12676517547123015,192,8,5000,1,4,4,1000,.23925775256066606,sum_of_sum!,erase_clusters!,1,0,1,0,1,192,1
0,1.132,.10911909604818258,208,8,5000,1,4,4,1000,.20767763599883143,sum_of_sum!,erase_clusters!,1,0,1,0,1,208,1
0,1.075,.0948646478680758,224,8,5000,1,4,4,1000,.18211298727376557,sum_of_sum!,erase_clusters!,1,0,1,0,1,224,1
0,1.06,.08308159722222222,240,8,5000,1,4,4,1000,.16110928938900887,sum_of_sum!,erase_clusters!,1,0,1,0,1,240,1
0,1.039,.07349232264927455,256,8,5000,1,4,4,1000,.14362958532183662,sum_of_sum!,erase_clusters!,1,0,1,0,1,256,1
1,4,1,128,8,5000,1,4,4,1000,4.035099006195382,sum_of_sum!,erase_clusters!,1,0,1,0,10,226846154180800,10
1,4,1,144,8,5000,1,4,4,1000,3.3093673332556133,sum_of_sum!,erase_clusters!,1,0,1,0,10,767464189477128,10
1,4,.9527566092354911,128,8,500,1,4,4,1000,.4071305149110152,sum_of_sum!,erase_clusters!,1,0,1,0,10,226846154180800,10
1,4,.9120973186728395,144,8,500,1,4,4,1000,.3337974656052469,sum_of_sum!,erase_clusters!,1,0,1,0,10,767464189477128,10
.5349999999999999,3.497,.85919921875,160,8,500,1,4,4,1000,.27912087978366873,sum_of_sum!,erase_clusters!,1,0,1,0,10,2274048887320496,10
.031000000000000028,1.723,.8022835651564345,176,8,500,1,4,4,1000,.23719672216700513,sum_of_sum!,erase_clusters!,1,0,1,0,10,6057158960772920,10
.01100000000000001,1.153,.7427503797743056,192,8,500,1,4,4,1000,.20429916367706738,sum_of_sum!,erase_clusters!,1,0,1,0,10,14782231840815648,10
0,1.016,.6859918176775148,208,8,500,1,4,4,1000,.17797914595914496,sum_of_sum!,erase_clusters!,1,0,1,0,10,33531148826188520,10
0,1.002,.6312494305758017,224,8,500,1,4,4,1000,.1565710179582723,sum_of_sum!,erase_clusters!,1,0,1,0,10,71484244375239696,10
0,1,.5808773561507936,240,8,500,1,4,4,1000,.13890866855705333,sum_of_sum!,erase_clusters!,1,0,1,0,10,144485086176559128,10
0,1,.5338499886648995,256,8,500,1,4,4,1000,.12415514435725192,sum_of_sum!,erase_clusters!,1,0,1,0,10,278826214642518400,10
0,1,.4921595016683144,272,8,500,1,4,4,1000,.11169661183047258,sum_of_sum!,erase_clusters!,1,0,1,0,10,516683327134890696,10
0,1,.4535878768463404,288,8,500,1,4,4,1000,.10107426109764112,sum_of_sum!,erase_clusters!,1,0,1,0,10,923729223066105456,10
0,1,.41800275771666007,304,8,500,1,4,4,1000,.09193935848853735,sum_of_sum!,erase_clusters!,1,0,1,0,10,1599578290535030520,10
0,1,.38618338448660716,320,8,500,1,4,4,1000,.08402285141623571,sum_of_sum!,erase_clusters!,1,0,1,0,10,2691848512864098016,10
0,1,.35824785643424034,336,8,500,1,4,4,1000,.07711436679221946,sum_of_sum!,erase_clusters!,1,0,1,0,10,4414782003816726696,10
0,1,.33213991707866,352,8,500,1,4,4,1000,.07104741767277002,sum_of_sum!,erase_clusters!,1,0,1,0,10,7073538042901970640,10
0,1,.3087907503206859,368,8,500,1,4,4,1000,-.0010503762105712015,sum_of_sum!,erase_clusters!,1,0,1,0,10,1,10
0,1,.2874402242993552,384,8,500,1,4,4,1000,-.0009646684295002876,sum_of_sum!,erase_clusters!,1,0,1,0,10,1,10
0,1,.26851383928571426,400,8,500,1,4,4,1000,-.0008890384246274651,sum_of_sum!,erase_clusters!,1,0,1,0,10,1,10
0,1,.2508531507554945,416,8,500,1,4,4,1000,-.0008219659991008368,sum_of_sum!,erase_clusters!,1,0,1,0,10,1,10
0,1,.2351703348520478,432,8,500,1,4,4,1000,-.0007622071541730668,sum_of_sum!,erase_clusters!,1,0,1,0,10,1,10
0,1,.22044421493485788,448,8,500,1,4,4,1000,-.0007087359890206195,sum_of_sum!,erase_clusters!,1,0,1,0,10,1,10
0,1,.2074081397570919,464,8,500,1,4,4,1000,-.0006607003750204111,sum_of_sum!,erase_clusters!,1,0,1,0,10,1,10
0,1,.1951717509920635,480,8,500,1,4,4,1000,-.0006173877948801841,sum_of_sum!,erase_clusters!,1,0,1,0,10,1,10
