errorrate,iterations,density,l,c,m,gamma,erasures,maxiterations,tests,efficiency,fsum,fcorrupt,pcons,pdes,degree,activities,alphabetsize,winners,poolsize
0,1,.015149307250976565,512,4,1000,1,1,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
0,1,.015143458048502603,512,4,1000,1,1,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
0,1,.015139643351236978,512,4,1000,1,2,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
0,1,.015144793192545572,512,4,1000,1,2,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.2801,1,.015139261881510416,512,4,1000,1,3,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.2782,1,.015143013000488282,512,4,1000,1,3,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
0,1,.0300628662109375,512,4,2000,1,1,1,1000,.07377997543219043,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
0,1,.015143394470214844,512,4,1000,1,1,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
0,1,.015145238240559897,512,4,1000,1,1,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
0,1,.015142313639322919,512,4,1000,1,2,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
0,1,.015138689676920572,512,4,1000,1,2,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
0,1,.01514263153076172,512,4,1000,1,1,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
0,1,.015141359965006509,512,4,1000,1,1,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
0,1,.015140151977539063,512,4,1000,1,2,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
0,1,.015149497985839842,512,4,1000,1,2,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.2866,1,.01514428456624349,512,4,1000,1,3,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.27940000000000004,1,.015143775939941406,512,4,1000,1,3,1,1000,.03752577059369939,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
0,1,.030063501993815106,512,4,2000,1,1,1,1000,.07377997543219043,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
0,1,.030056190490722657,512,4,2000,1,1,1,1000,.07377997543219043,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.002300000000000002,1,.030062484741210937,512,4,2000,1,2,1,1000,.07377997543219043,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.0007000000000000006,1,.030065790812174482,512,4,2000,1,2,1,1000,.07377997543219043,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.7018000000000001,1,.030054410298665363,512,4,2000,1,3,1,1000,.07377997543219043,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.6950999999999999,1,.030066871643066408,512,4,2000,1,3,1,1000,.07377997543219043,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.00010000000000000009,1,.04474207560221355,512,4,3000,1,1,1,1000,.10955423572228859,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
0,1,.04475332895914713,512,4,3000,1,1,1,1000,.10955423572228859,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.004600000000000004,1,.04474697113037109,512,4,3000,1,2,1,1000,.10955423572228859,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.005600000000000005,1,.044742520650227866,512,4,3000,1,2,1,1000,.10955423572228859,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.9217000000000001,1,.04473921457926432,512,4,3000,1,3,1,1000,.10955423572228859,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.9243,1,.044747543334960935,512,4,3000,1,3,1,1000,.10955423572228859,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
0,1,.05920403798421224,512,4,4000,1,1,1,1000,.14501681935396424,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.00020000000000000017,1,.05921599070231119,512,4,4000,1,1,1,1000,.14501681935396424,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.015700000000000013,1,.05920772552490233,512,4,4000,1,2,1,1000,.14501681935396424,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.016500000000000015,1,.059206390380859376,512,4,4000,1,2,1,1000,.14501681935396424,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.9879,1,.05922431945800781,512,4,4000,1,3,1,1000,.14501681935396424,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.9863999999999999,1,.0592090606689453,512,4,4000,1,3,1,1000,.14501681935396424,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.00010000000000000009,1,.07344430287679037,512,4,5000,1,1,1,1000,.18024764233970972,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.00020000000000000017,1,.07344010670979818,512,4,5000,1,1,1,1000,.18024764233970972,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.03920000000000003,1,.07346801757812499,512,4,5000,1,2,1,1000,.18024764233970972,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.03640000000000003,1,.07345765431722005,512,4,5000,1,2,1,1000,.18024764233970972,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.9987,1,.07343648274739584,512,4,5000,1,3,1,1000,.18024764233970972,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.9972000000000001,1,.07344621022542319,512,4,5000,1,3,1,1000,.18024764233970972,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.0008000000000000007,1,.08748219807942709,512,4,6000,1,1,1,1000,.21529377417895218,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.00020000000000000017,1,.08750686645507813,512,4,6000,1,1,1,1000,.21529377417895218,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.06539999999999999,1,.08749529520670574,512,4,6000,1,2,1,1000,.21529377417895218,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.06959999999999997,1,.0874749501546224,512,4,6000,1,2,1,1000,.21529377417895218,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.9997999999999999,1,.08747526804606119,512,4,6000,1,3,1,1000,.21529377417895218,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.9997,1,.08747774759928387,512,4,6000,1,3,1,1000,.21529377417895218,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.0007000000000000006,1,.10129502614339195,512,4,7000,1,1,1,1000,.25018631682028175,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.0005000000000000004,1,.10128326416015625,512,4,7000,1,1,1,1000,.25018631682028175,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.11509999999999998,1,.10133870442708333,512,4,7000,1,2,1,1000,.25018631682028175,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.1177,1,.10132198333740235,512,4,7000,1,2,1,1000,.25018631682028175,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.10129229227701823,512,4,7000,1,3,1,1000,.25018631682028175,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.10130983988444009,512,4,7000,1,3,1,1000,.25018631682028175,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.0025000000000000022,1,.11493631998697915,512,4,8000,1,1,1,1000,.2849473756870951,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.0017000000000000014,1,.11491622924804687,512,4,8000,1,1,1,1000,.2849473756870951,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.1843,1,.11493981679280599,512,4,8000,1,2,1,1000,.2849473756870951,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.18109999999999998,1,.11495215098063152,512,4,8000,1,2,1,1000,.2849473756870951,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.11491254170735676,512,4,8000,1,3,1,1000,.2849473756870951,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.11488412221272785,512,4,8000,1,3,1,1000,.2849473756870951,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.003400000000000003,1,.12832031250000003,512,4,9000,1,1,1,1000,.319593478990437,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.0032000000000000028,1,.12828731536865234,512,4,9000,1,1,1,1000,.319593478990437,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.26980000000000004,1,.12831490834554038,512,4,9000,1,2,1,1000,.319593478990437,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.2686,1,.12834313710530598,512,4,9000,1,2,1,1000,.319593478990437,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.1282955805460612,512,4,9000,1,3,1,1000,.319593478990437,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.12833766937255858,512,4,9000,1,3,1,1000,.319593478990437,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.0036000000000000034,1,.14156665802001953,512,4,10000,1,1,1,1000,.3541374559033778,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.0040000000000000036,1,.1414981206258138,512,4,10000,1,1,1,1000,.3541374559033778,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.36129999999999995,1,.1415872573852539,512,4,10000,1,2,1,1000,.3541374559033778,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.3577,1,.14144929250081378,512,4,10000,1,2,1,1000,.3541374559033778,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.14151465098063148,512,4,10000,1,3,1,1000,.3541374559033778,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.1415102005004883,512,4,10000,1,3,1,1000,.3541374559033778,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.008100000000000007,1,.15450668334960938,512,4,11000,1,1,1,1000,.3885895552476005,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.008100000000000007,1,.1545050303141276,512,4,11000,1,1,1,1000,.3885895552476005,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.46889999999999993,1,.15453840891520182,512,4,11000,1,2,1,1000,.3885895552476005,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.4625,1,.15448315938313803,512,4,11000,1,2,1,1000,.3885895552476005,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.1545235315958659,512,4,11000,1,3,1,1000,.3885895552476005,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.15443077087402343,512,4,11000,1,3,1,1000,.3885895552476005,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.015300000000000013,1,.16735127766927083,512,4,12000,1,1,1,1000,.42295815382665436,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.014600000000000012,1,.1673256556193034,512,4,12000,1,1,1,1000,.42295815382665436,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.5766000000000001,1,.1673208236694336,512,4,12000,1,2,1,1000,.42295815382665436,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.5657,1,.1673227310180664,512,4,12000,1,2,1,1000,.42295815382665436,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.16730327606201173,512,4,12000,1,3,1,1000,.42295815382665436,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.1673559824625651,512,4,12000,1,3,1,1000,.42295815382665436,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.02210000000000002,1,.17999490102132165,512,4,13000,1,1,1,1000,.45725022695688555,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.02240000000000002,1,.1799099604288737,512,4,13000,1,1,1,1000,.45725022695688555,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.6740999999999999,1,.179919179280599,512,4,13000,1,2,1,1000,.45725022695688555,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.6753000000000001,1,.1799221674601237,512,4,13000,1,2,1,1000,.45725022695688555,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.1798933664957682,512,4,13000,1,3,1,1000,.45725022695688555,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.17993335723876955,512,4,13000,1,3,1,1000,.45725022695688555,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.030600000000000026,1,.19238338470458985,512,4,14000,1,1,1,1000,.491471673354105,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.028800000000000027,1,.1923060735066732,512,4,14000,1,1,1,1000,.491471673354105,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.7647999999999999,1,.19235369364420574,512,4,14000,1,2,1,1000,.491471673354105,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.773,1,.19233233133951821,512,4,14000,1,2,1,1000,.491471673354105,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.19233016967773436,512,4,14000,1,3,1,1000,.491471673354105,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.19235127766927085,512,4,14000,1,3,1,1000,.491471673354105,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.04380000000000004,1,.20464884440104164,512,4,15000,1,1,1,1000,.5256275467250812,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.041900000000000034,1,.20460287729899088,512,4,15000,1,1,1,1000,.5256275467250812,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.8356,1,.20459378560384117,512,4,15000,1,2,1,1000,.5256275467250812,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.8395999999999999,1,.2045583724975586,512,4,15000,1,2,1,1000,.5256275467250812,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.20455748240153,512,4,15000,1,3,1,1000,.5256275467250812,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.20458876291910805,512,4,15000,1,3,1,1000,.5256275467250812,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.06039999999999999,1,.21660175323486328,512,4,16000,1,1,1,1000,.5597222253325235,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.06309999999999999,1,.21665910085042314,512,4,16000,1,1,1,1000,.5597222253325235,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.8997999999999999,1,.21661039988199868,512,4,16000,1,2,1,1000,.5597222253325235,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.8961,1,.21660957336425782,512,4,16000,1,2,1,1000,.5597222253325235,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
1,1,.21658668518066407,512,4,16000,1,3,1,1000,.5597222253325235,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.21663144429524736,512,4,16000,1,3,1,1000,.5597222253325235,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.07609999999999996,1,.2284159342447917,512,4,17000,1,1,1,1000,.5937595390086156,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
.08279999999999996,1,.22846425374348955,512,4,17000,1,1,1,1000,.5937595390086156,sum_of_sum!,erase_clusters!,1,0,0,2,130816,1,10
.9374,1,.2285083770751953,512,4,17000,1,2,1,1000,.5937595390086156,sum_of_sum!,erase_clusters!,1,0,0,2,130816,0,10
